,count,acc_created,categorie
393,0,2016-01-01,0
394,0,2016-01-01,0
395,8,2016-01-01,more
396,7,2016-01-01,more
397,0,2016-01-01,0
398,4,2016-01-01,more
399,0,2016-01-01,0
400,0,2016-01-01,0
401,0,2016-01-01,0
402,0,2016-01-01,0
403,0,2016-01-01,0
404,0,2016-01-01,0
405,4,2016-01-01,more
406,11,2016-01-01,more
407,18,2016-01-01,more
408,1,2016-01-01,1
409,3,2016-01-01,more
410,4,2016-01-01,more
411,0,2016-01-01,0
412,0,2016-01-01,0
413,11,2016-01-01,more
414,4,2016-01-01,more
415,2,2016-01-01,2
416,0,2016-01-01,0
417,18,2016-01-01,more
418,0,2016-01-01,0
419,0,2016-01-01,0
420,0,2016-01-01,0
421,1,2016-01-01,1
422,0,2016-01-01,0
423,0,2016-01-01,0
424,20,2016-01-01,more
425,0,2016-01-01,0
426,0,2016-01-01,0
427,0,2016-01-01,0
428,0,2016-01-01,0
429,0,2016-01-01,0
430,0,2016-01-01,0
431,0,2016-01-01,0
432,0,2016-01-01,0
433,0,2016-01-01,0
434,0,2016-01-01,0
435,10,2016-01-01,more
436,0,2016-01-01,0
437,9,2016-01-01,more
438,0,2016-01-01,0
439,0,2016-01-01,0
440,2,2016-01-01,2
441,0,2016-01-01,0
442,0,2016-01-01,0
443,1,2016-01-01,1
444,8,2016-01-01,more
445,2,2016-01-01,2
446,0,2016-01-01,0
447,0,2016-01-01,0
448,0,2016-01-01,0
449,15,2016-01-01,more
450,7,2016-01-01,more
451,10,2016-01-01,more
452,0,2016-01-01,0
453,0,2016-01-01,0
454,0,2016-01-01,0
455,0,2016-01-01,0
456,0,2016-01-01,0
457,0,2016-01-01,0
458,2,2016-01-01,2
459,16,2016-01-01,more
460,0,2016-01-01,0
461,0,2016-01-01,0
462,0,2016-01-01,0
463,0,2016-01-01,0
464,0,2016-01-01,0
465,0,2016-01-01,0
466,2,2016-01-01,2
467,0,2016-01-01,0
468,17,2016-01-01,more
469,0,2016-01-01,0
470,0,2016-01-01,0
471,0,2016-01-01,0
472,1,2016-01-01,1
473,2,2016-01-01,2
474,2,2016-01-01,2
475,0,2016-01-01,0
476,13,2016-01-01,more
477,0,2016-01-01,0
478,6,2016-01-01,more
479,2,2016-01-01,2
480,0,2016-01-01,0
481,0,2016-01-01,0
482,0,2016-01-01,0
483,0,2016-01-01,0
484,0,2016-01-01,0
485,17,2016-01-01,more
486,23,2016-01-01,more
487,14,2016-01-01,more
488,32,2016-01-01,more
489,1,2016-01-01,1
490,0,2016-01-01,0
491,0,2016-01-01,0
492,15,2016-01-01,more
493,9,2016-01-01,more
494,0,2016-01-01,0
495,27,2016-01-01,more
496,16,2016-01-01,more
497,5,2016-01-01,more
498,0,2016-01-01,0
499,3,2016-01-01,more
500,0,2016-01-01,0
501,0,2016-01-01,0
502,0,2016-01-01,0
503,18,2016-01-01,more
504,0,2016-01-01,0
505,8,2016-01-01,more
506,0,2016-01-01,0
507,0,2016-01-01,0
508,13,2016-01-01,more
509,15,2016-01-01,more
510,0,2016-01-01,0
511,18,2016-01-01,more
512,0,2016-01-01,0
513,5,2016-01-01,more
514,8,2016-01-01,more
515,13,2016-01-01,more
516,0,2016-01-01,0
517,5,2016-01-01,more
518,0,2016-01-01,0
519,0,2016-01-01,0
520,0,2016-01-01,0
521,0,2016-01-01,0
522,6,2016-01-01,more
523,0,2016-01-01,0
524,0,2016-01-01,0
525,5,2016-01-01,more
526,0,2016-01-01,0
527,2,2016-01-01,2
528,13,2016-01-01,more
529,0,2016-01-01,0
530,0,2016-01-01,0
531,0,2016-01-01,0
532,0,2016-01-01,0
533,8,2016-01-01,more
534,24,2016-01-01,more
535,0,2016-01-01,0
536,3,2016-01-01,more
537,12,2016-01-01,more
538,14,2016-01-01,more
539,3,2016-01-01,more
540,7,2016-01-01,more
541,15,2016-01-01,more
542,6,2016-01-01,more
543,10,2016-01-01,more
544,29,2016-01-01,more
545,1,2016-01-01,1
546,32,2016-01-01,more
547,4,2016-01-01,more
548,0,2016-01-01,0
549,9,2016-01-01,more
550,0,2016-01-01,0
551,0,2016-01-01,0
552,0,2016-01-01,0
553,0,2016-01-01,0
554,0,2016-01-01,0
555,0,2016-01-01,0
556,0,2016-01-01,0
557,0,2016-01-01,0
558,0,2016-01-01,0
559,0,2016-01-01,0
560,10,2016-01-01,more
561,0,2016-01-01,0
562,26,2016-01-01,more
563,0,2016-01-01,0
564,15,2016-01-01,more
565,0,2016-01-01,0
566,0,2016-01-01,0
567,10,2016-01-01,more
568,0,2016-01-01,0
569,0,2016-01-01,0
570,0,2016-01-01,0
571,2,2016-01-01,2
572,0,2016-01-01,0
573,0,2016-01-01,0
574,0,2016-01-01,0
575,0,2016-01-01,0
576,0,2016-01-01,0
577,6,2016-01-01,more
578,16,2016-01-01,more
579,1,2016-01-01,1
580,0,2016-01-01,0
581,0,2016-01-01,0
582,6,2016-01-01,more
583,0,2016-01-01,0
584,0,2016-01-01,0
585,0,2016-01-01,0
586,0,2016-01-01,0
587,0,2016-01-01,0
588,0,2016-01-01,0
589,0,2016-01-01,0
590,0,2016-01-01,0
591,0,2016-01-01,0
592,0,2016-01-01,0
593,28,2016-01-01,more
594,0,2016-01-01,0
595,15,2016-01-01,more
596,0,2016-01-01,0
597,0,2016-01-01,0
598,11,2016-01-01,more
599,0,2016-01-01,0
600,24,2016-01-01,more
601,1,2016-01-01,1
602,2,2016-01-01,2
603,18,2016-01-01,more
604,0,2016-01-01,0
605,0,2016-01-01,0
606,0,2016-01-01,0
607,0,2016-01-01,0
608,0,2016-01-01,0
609,10,2016-01-01,more
610,0,2016-01-01,0
611,0,2016-01-01,0
612,0,2016-01-01,0
613,0,2016-01-01,0
614,0,2016-01-01,0
615,32,2016-01-01,more
616,0,2016-01-01,0
617,0,2016-01-01,0
618,0,2016-01-01,0
619,0,2016-01-01,0
620,2,2016-01-01,2
621,0,2016-01-01,0
622,0,2016-01-01,0
623,19,2016-01-01,more
624,0,2016-01-01,0
625,3,2016-01-01,more
626,0,2016-01-01,0
627,0,2016-01-01,0
628,10,2016-01-01,more
629,0,2016-01-01,0
630,0,2016-01-01,0
631,22,2016-01-01,more
632,0,2016-01-01,0
633,0,2016-01-01,0
634,0,2016-01-01,0
635,0,2016-01-01,0
636,0,2016-01-01,0
637,18,2016-01-01,more
638,0,2016-01-01,0
639,16,2016-01-01,more
640,0,2016-01-01,0
641,0,2016-01-01,0
642,0,2016-01-01,0
643,0,2016-01-01,0
644,0,2016-01-01,0
645,0,2016-01-01,0
646,0,2016-01-01,0
647,0,2016-01-01,0
648,0,2016-01-01,0
649,0,2016-01-01,0
650,18,2016-01-01,more
651,10,2016-01-01,more
652,0,2016-01-01,0
653,9,2016-01-01,more
654,7,2016-01-01,more
655,0,2016-01-01,0
656,8,2016-01-01,more
657,0,2016-01-01,0
658,0,2016-01-01,0
659,0,2016-01-01,0
660,0,2016-01-01,0
661,0,2016-01-01,0
662,0,2016-01-01,0
663,0,2016-01-01,0
664,0,2016-01-01,0
665,15,2016-01-01,more
666,4,2016-01-01,more
667,0,2016-01-01,0
668,0,2016-01-01,0
669,9,2016-01-01,more
670,0,2016-01-01,0
671,12,2016-01-01,more
672,0,2016-01-01,0
673,0,2016-01-01,0
674,0,2016-01-01,0
675,3,2016-01-01,more
676,0,2016-01-01,0
677,0,2016-01-01,0
678,0,2016-01-01,0
679,0,2016-01-01,0
680,3,2016-01-01,more
681,0,2016-01-01,0
682,8,2016-01-01,more
683,0,2016-01-01,0
684,0,2016-01-01,0
685,26,2016-01-01,more
686,0,2016-01-01,0
687,0,2016-01-01,0
688,9,2016-01-01,more
689,0,2016-01-01,0
690,0,2016-01-01,0
691,0,2016-01-01,0
692,0,2016-01-01,0
693,0,2016-01-01,0
694,0,2016-01-01,0
695,0,2016-01-01,0
696,0,2016-01-01,0
697,0,2016-01-01,0
698,10,2016-01-01,more
699,0,2016-01-01,0
700,0,2016-01-01,0
701,15,2016-01-01,more
702,0,2016-01-01,0
703,0,2016-01-01,0
704,0,2016-01-01,0
705,0,2016-01-01,0
706,2,2016-01-01,2
707,0,2016-01-01,0
708,1,2016-01-01,1
709,0,2016-01-01,0
710,0,2016-01-01,0
711,0,2016-01-01,0
712,0,2016-01-01,0
713,0,2016-01-01,0
714,0,2016-01-01,0
715,0,2016-01-01,0
716,0,2016-01-01,0
717,0,2016-01-01,0
718,0,2016-01-01,0
719,0,2016-01-01,0
720,0,2016-01-01,0
721,0,2016-01-01,0
722,0,2016-01-01,0
723,0,2016-01-01,0
724,0,2016-01-01,0
725,5,2016-01-01,more
726,0,2016-01-01,0
727,16,2016-01-01,more
728,0,2016-01-01,0
729,0,2016-01-01,0
730,0,2016-01-01,0
731,0,2016-01-01,0
732,0,2016-01-01,0
733,9,2016-01-01,more
734,0,2016-01-01,0
735,0,2016-01-01,0
736,0,2016-01-01,0
737,0,2016-01-01,0
738,0,2016-01-01,0
739,9,2016-01-01,more
740,2,2016-01-01,2
741,10,2016-01-01,more
742,0,2016-01-01,0
743,0,2016-01-01,0
744,0,2016-01-01,0
745,11,2016-01-01,more
746,26,2016-01-01,more
747,20,2016-01-01,more
748,0,2016-01-01,0
749,0,2016-01-01,0
750,0,2016-01-01,0
751,7,2016-01-01,more
752,0,2016-01-01,0
753,13,2016-01-01,more
754,0,2016-01-01,0
755,0,2016-01-01,0
756,0,2016-01-01,0
757,0,2016-01-01,0
758,0,2016-01-01,0
759,0,2016-01-01,0
760,15,2016-01-01,more
761,15,2016-01-01,more
762,8,2016-01-01,more
763,0,2016-01-01,0
764,0,2016-01-01,0
765,1,2016-01-01,1
766,0,2016-01-01,0
767,0,2016-01-01,0
768,13,2016-01-01,more
769,0,2016-01-01,0
770,12,2016-01-01,more
771,0,2016-01-01,0
772,0,2016-01-01,0
773,0,2016-01-01,0
774,0,2016-01-01,0
775,2,2016-01-01,2
776,0,2016-01-01,0
777,0,2016-01-01,0
778,15,2016-01-01,more
779,0,2016-01-01,0
780,0,2016-01-01,0
781,0,2016-01-01,0
782,0,2016-01-01,0
783,10,2016-01-01,more
784,3,2016-01-01,more
785,3,2016-01-01,more
786,0,2016-01-01,0
787,4,2016-01-01,more
788,2,2016-01-01,2
789,0,2016-01-01,0
790,14,2016-01-01,more
791,0,2016-01-01,0
792,13,2016-01-01,more
793,0,2016-01-01,0
794,4,2016-01-01,more
795,19,2016-01-01,more
796,1,2016-01-01,1
797,0,2016-01-01,0
798,0,2016-01-01,0
799,6,2016-01-01,more
800,8,2016-01-01,more
801,1,2016-01-01,1
802,10,2016-01-01,more
803,2,2016-01-01,2
804,0,2016-01-01,0
805,0,2016-01-01,0
806,10,2016-01-01,more
807,14,2016-01-01,more
808,0,2016-01-01,0
809,0,2016-01-01,0
810,2,2016-01-01,2
811,15,2016-01-01,more
812,12,2016-01-01,more
813,0,2016-01-01,0
814,13,2016-01-01,more
815,13,2016-01-01,more
816,0,2016-01-01,0
817,0,2016-01-01,0
818,12,2016-01-01,more
819,0,2016-01-01,0
820,0,2016-01-01,0
821,0,2016-01-01,0
822,0,2016-01-01,0
823,0,2016-01-01,0
824,0,2016-01-01,0
825,1,2016-01-01,1
826,3,2016-01-01,more
827,0,2016-01-01,0
828,12,2016-01-01,more
829,7,2016-01-01,more
830,0,2016-01-01,0
831,0,2016-01-01,0
832,0,2016-01-01,0
833,1,2016-01-01,1
834,0,2016-01-01,0
835,11,2016-01-01,more
836,0,2016-01-01,0
837,9,2016-01-01,more
838,0,2016-01-01,0
839,0,2016-01-01,0
840,0,2016-01-01,0
841,0,2016-01-01,0
842,0,2016-01-01,0
843,0,2016-01-01,0
844,0,2016-01-01,0
845,0,2016-01-01,0
846,10,2016-01-01,more
847,0,2016-01-01,0
848,0,2016-01-01,0
849,0,2016-01-01,0
850,2,2016-01-01,2
851,0,2016-01-01,0
852,0,2016-01-01,0
853,7,2016-01-01,more
854,0,2016-01-01,0
855,0,2016-01-01,0
856,0,2016-01-01,0
857,0,2016-01-01,0
858,0,2016-01-01,0
859,0,2016-01-01,0
860,6,2016-01-01,more
861,0,2016-01-01,0
862,0,2016-01-01,0
863,0,2016-01-01,0
864,0,2016-01-01,0
865,0,2016-01-01,0
866,0,2016-01-01,0
867,0,2016-01-01,0
868,17,2016-01-01,more
869,0,2016-01-01,0
870,0,2016-01-01,0
871,0,2016-01-01,0
872,0,2016-01-01,0
873,24,2016-01-01,more
874,0,2016-01-01,0
875,0,2016-01-01,0
876,7,2016-01-01,more
877,0,2016-01-01,0
878,0,2016-01-01,0
879,0,2016-01-01,0
880,0,2016-01-01,0
881,0,2016-01-01,0
882,0,2016-01-01,0
883,17,2016-01-01,more
884,0,2016-01-01,0
885,8,2016-01-01,more
886,0,2016-01-01,0
887,0,2016-01-01,0
888,0,2016-01-01,0
889,0,2016-01-01,0
890,4,2016-01-01,more
891,0,2016-01-01,0
892,31,2016-01-01,more
893,8,2016-01-01,more
894,8,2016-01-01,more
895,25,2016-01-01,more
896,0,2016-01-01,0
897,0,2016-01-01,0
898,0,2016-01-01,0
899,0,2016-01-01,0
900,0,2016-01-01,0
901,0,2016-01-01,0
902,0,2016-01-01,0
903,0,2016-01-01,0
904,0,2016-01-01,0
905,0,2016-01-01,0
906,0,2016-01-01,0
907,0,2016-01-01,0
908,0,2016-01-01,0
909,4,2016-01-01,more
